IQ,Major,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
112,Education,6.85,6.92,10,Yes,3,5,3,No
106,Marketing,9.04,9.21,9,No,1,4,2,No
85,Education,6.35,6.6,3,Yes,8,1,1,No
91,Finance,9.41,9.04,8,No,5,4,2,No
92,Psychology,5.27,4.97,6,No,8,10,2,No
77,Restaurant,9.7,9.89,2,Yes,7,3,1,No
87,Engineering,7.8,8.15,3,No,0,3,2,No
82,Marketing,8.29,8.2,1,No,1,5,0,No
93,Finance,6.84,7.32,3,No,1,1,4,No
88,Marketing,8.91,8.63,4,No,1,6,1,No
75,Finance,5.83,5.75,6,Yes,3,2,3,No
130,Education,5.24,5.12,10,Yes,6,1,3,No
118,Education,6.98,7.41,7,No,6,8,4,Yes
88,Design,9.27,9.06,3,No,0,10,3,Yes
104,Business,8.77,8.74,7,No,7,3,4,No
106,Marketing,7.59,7.28,4,No,3,6,0,No
117,Design,7.86,7.88,1,No,7,2,3,No
87,Restaurant,5.65,6.01,1,Yes,9,5,3,No
116,Design,9.2,9,8,No,8,9,0,Yes
91,Computer Science,8.93,9.24,10,Yes,6,7,3,No
79,Education,8.28,8.69,7,No,2,4,3,No
110,Computer Science,7.33,6.9,4,No,2,3,0,No
119,Marketing,9.82,10.08,1,No,4,9,5,Yes
138,Engineering,9.4,9.16,6,No,6,4,0,No
82,Engineering,8.22,7.9,10,Yes,6,5,5,No
110,Restaurant,6.86,6.96,7,Yes,8,6,0,No
93,Design,8.09,8.3,6,No,0,10,5,Yes
111,Engineering,7.88,7.77,6,No,2,5,3,No
77,Finance,6.97,6.51,8,Yes,0,9,4,No
81,Finance,6.53,6.94,6,No,5,1,5,No
88,Restaurant,7.04,7.27,2,No,9,6,4,No
101,Psychology,7.87,7.64,7,No,6,4,1,No
90,Education,7.14,7.14,10,No,1,4,1,No
109,Design,6.32,5.85,4,No,8,3,3,No
115,Marketing,8.8,8.64,3,No,4,5,3,Yes
108,Pharmacy,7.66,7.68,8,No,2,8,4,No
124,Pharmacy,5.34,5.36,10,No,6,4,2,No
106,Pharmacy,6.84,6.55,5,Yes,6,7,1,No
81,Engineering,9.42,9.7,4,No,0,8,4,Yes
120,Psychology,8.78,8.58,4,No,5,5,3,Yes
90,Psychology,6.62,6.7,5,No,2,10,1,No
113,Design,9.69,9.46,4,Yes,6,1,1,No
123,Design,5.38,5.31,3,No,4,8,5,Yes
106,Psychology,9.81,9.52,4,Yes,3,10,1,No
77,Restaurant,6.23,6.36,10,No,9,3,3,No
86,Design,5.05,4.98,5,Yes,6,4,4,No
119,Restaurant,7.17,6.69,2,No,6,10,2,Yes
97,Computer Science,6.79,6.32,7,Yes,7,7,3,No
101,Finance,7.7,7.67,5,No,4,9,1,No
111,Education,8.98,8.66,9,No,3,4,5,Yes
110,Design,9.21,9.3,6,No,0,4,5,No
104,Psychology,7.01,6.92,1,Yes,3,6,0,No
96,Finance,7.15,7.3,9,No,10,9,4,No
95,Finance,5.74,6.19,5,Yes,9,4,3,No
112,Business,5.24,5.27,9,No,0,10,1,No
108,Psychology,8.21,8.5,1,No,6,8,2,Yes
96,Education,5.32,5.57,2,Yes,5,3,5,No
116,Psychology,8.67,9.09,3,No,6,2,1,No
98,Design,7.7,7.41,5,No,7,4,1,No
87,Marketing,5.99,6.32,6,No,5,4,3,No
88,Computer Science,7.7,8.11,5,Yes,1,7,5,No
85,Restaurant,5.91,5.8,1,No,1,7,2,No
95,Marketing,7.19,7,4,No,8,9,5,No
118,Computer Science,9,9.45,6,Yes,5,10,0,Yes
87,Marketing,7.31,7.44,4,No,5,2,5,No
102,Restaurant,5.74,5.62,4,Yes,0,4,5,No
90,Engineering,8.62,8.91,5,Yes,7,3,3,No
96,Psychology,5.93,5.73,8,Yes,10,3,5,No
77,Marketing,8.69,8.37,5,No,7,7,4,No
96,Design,7.4,7.44,7,Yes,3,10,2,No
97,Education,7.27,7.34,8,No,6,6,0,No
108,Pharmacy,9.26,9.59,6,Yes,8,3,0,No
103,Design,8.54,8.5,6,Yes,10,8,2,Yes
82,Restaurant,5.16,5.47,2,Yes,0,8,4,No
116,Education,6.48,6.29,10,No,4,7,1,No
103,Design,9.35,9.43,5,Yes,7,9,3,Yes
102,Finance,5.09,4.8,1,Yes,6,3,4,No
99,Psychology,7.73,7.62,9,Yes,9,5,5,No
92,Education,8.64,9,7,Yes,3,6,0,No
103,Finance,8.11,7.83,2,No,2,9,5,No
107,Design,8.8,9.11,6,No,0,4,4,No
73,Computer Science,8.63,8.41,10,Yes,2,5,1,No
91,Business,8.46,7.99,9,Yes,1,9,5,No
96,Computer Science,9.11,8.72,5,No,4,4,4,No
103,Psychology,8.23,8.48,3,Yes,0,2,4,No
117,Education,7.01,6.77,10,No,3,9,5,Yes
88,Education,7.36,7.51,4,Yes,7,3,0,No
92,Psychology,8.58,8.78,3,No,8,6,4,No
92,Finance,9.38,9.23,1,Yes,0,9,5,Yes
87,Business,6.36,6.33,10,No,2,3,3,No
94,Design,6.71,6.61,7,Yes,5,8,2,No
111,Restaurant,9.65,10.1,8,Yes,4,9,5,Yes
84,Computer Science,7.89,7.71,2,No,0,3,0,No
106,Computer Science,5.89,5.57,8,Yes,1,3,2,No
74,Pharmacy,8.32,8.19,9,Yes,1,4,4,No
91,Business,9.95,10.12,7,Yes,6,1,1,No
95,Restaurant,9.12,9.32,1,No,5,2,5,No
125,Computer Science,8.73,9.15,4,Yes,5,1,5,Yes
95,Restaurant,6.04,6.42,7,Yes,0,3,0,No
66,Design,9.38,9.17,6,No,0,6,4,No
70,Education,7.63,7.59,8,No,3,8,4,No
100,Restaurant,9.45,9.7,6,No,9,5,1,No
109,Computer Science,6.65,7.07,10,No,5,8,4,No
105,Finance,5.31,5.15,6,No,10,6,3,No
102,Business,7.38,7.32,10,Yes,5,1,1,No
117,Psychology,6.35,6.75,6,No,4,3,0,No
91,Marketing,8.58,8.44,7,Yes,3,2,0,No
113,Engineering,9.79,9.77,5,Yes,1,6,2,Yes
75,Engineering,8.45,8.85,9,Yes,6,8,3,Yes
86,Marketing,9.43,9.73,7,No,5,6,5,No
72,Restaurant,7.27,7.01,1,No,6,4,3,No
95,Business,8.86,8.68,9,No,2,4,0,No
99,Restaurant,9.22,9.07,6,No,0,9,4,Yes
101,Psychology,8.55,8.96,8,No,0,1,5,No
100,Business,7.54,8.04,9,No,3,2,3,No
86,Marketing,8.13,8.4,2,No,3,4,3,No
97,Restaurant,8.5,8.48,2,No,6,3,4,No
77,Pharmacy,6.27,5.78,5,Yes,6,9,1,No
120,Computer Science,9.05,9.25,5,No,3,5,4,Yes
95,Finance,9.75,9.64,10,Yes,6,8,2,Yes
92,Education,7.33,7.46,10,No,7,4,2,No
123,Finance,8.51,8.62,2,No,8,4,5,Yes
81,Psychology,8.69,8.67,10,Yes,5,10,0,No
83,Restaurant,8.31,8.75,4,Yes,3,3,1,No
83,Design,7.74,7.26,9,No,9,9,3,No
98,Business,9.41,9.62,4,No,1,10,5,Yes
106,Restaurant,7.24,7.15,1,Yes,8,2,0,No
111,Business,5.31,5.52,5,Yes,6,3,0,No
138,Education,9.22,9.4,2,Yes,5,3,5,Yes
66,Pharmacy,8.37,7.88,6,No,3,3,5,No
109,Finance,9.25,9.04,1,No,3,4,3,No
91,Computer Science,5.69,5.38,7,Yes,1,5,3,No
91,Education,5.15,4.82,7,No,0,6,4,No
90,Education,9.67,9.9,4,No,4,5,2,No
86,Finance,5.74,5.48,9,Yes,5,9,3,No
125,Education,9.05,9.02,3,Yes,9,7,4,Yes
112,Design,9.12,8.87,5,No,8,7,2,Yes
100,Design,8.54,8.62,5,No,0,7,1,No
120,Engineering,5.66,5.88,8,Yes,4,7,1,No
77,Engineering,8.34,8.17,10,No,10,2,1,No
80,Design,9.45,9.55,10,No,4,8,3,Yes
67,Marketing,7.13,7.45,4,Yes,8,10,2,No
89,Pharmacy,7.07,6.66,1,Yes,10,1,5,No
102,Business,7.21,7.42,5,Yes,10,6,2,No
101,Pharmacy,5.41,5.23,1,No,3,3,1,No
102,Psychology,9.46,9.08,3,Yes,2,6,0,No
78,Education,9.35,9.4,6,Yes,2,6,2,No
112,Computer Science,9.99,9.72,1,Yes,5,8,2,Yes
103,Education,7.93,8.25,10,No,10,4,4,No
110,Pharmacy,8.76,8.3,3,Yes,0,3,1,No
71,Design,6.01,5.61,7,No,0,2,0,No
104,Finance,8.34,8.36,2,Yes,0,6,4,No
82,Psychology,8.25,8.34,6,No,6,3,0,No
94,Design,9.51,9.74,7,No,4,4,5,No
108,Pharmacy,9.15,8.91,2,Yes,10,9,0,No
101,Finance,9.69,10.03,5,Yes,8,7,5,No
87,Computer Science,9.34,9.79,10,Yes,10,1,0,No
100,Pharmacy,9.34,9.34,10,Yes,2,4,3,No
77,Business,5.32,5.58,1,No,5,8,2,No
117,Restaurant,9.23,9.25,3,Yes,6,10,2,Yes
96,Finance,8.04,7.61,1,No,2,4,4,No
116,Pharmacy,6.9,6.73,3,Yes,8,1,5,No
92,Design,5.28,4.87,4,Yes,1,10,0,No
92,Business,8.39,8.88,5,Yes,6,2,0,No
88,Marketing,6.64,6.37,4,Yes,9,5,2,No
113,Finance,7.34,7.48,4,Yes,3,6,5,No
89,Business,8.41,8.19,9,No,8,1,0,No
109,Design,9.56,9.71,9,Yes,6,5,0,No
94,Pharmacy,9.13,8.84,9,No,7,8,0,No
70,Education,7.25,7.54,5,No,10,8,1,No
91,Computer Science,6.94,6.55,5,No,9,2,1,No
82,Education,6.2,6.6,2,No,2,9,1,No
100,Restaurant,6.86,7.2,6,No,5,2,5,No
82,Business,5.56,5.74,2,Yes,3,4,5,No
113,Restaurant,9.86,9.43,10,Yes,3,10,4,Yes
98,Computer Science,7.87,7.58,5,No,1,4,0,No
97,Business,5.64,6,5,Yes,10,4,1,No
109,Engineering,6.76,6.38,4,No,9,7,1,No
114,Design,7.74,7.4,5,Yes,8,8,3,Yes
99,Business,7.66,7.7,7,No,10,8,4,No
88,Design,5.18,4.95,10,No,0,4,1,No
73,Education,9.75,9.47,2,No,0,4,1,No
89,Psychology,6.38,6.46,1,No,6,6,1,No
90,Finance,5.08,4.95,4,Yes,9,9,3,No
101,Psychology,5.38,5.02,7,Yes,6,5,3,No
94,Pharmacy,7.9,7.93,1,No,3,2,4,No
110,Finance,5.69,5.58,4,No,7,9,0,No
90,Finance,5.21,5.44,6,No,4,9,0,No
99,Marketing,6.9,6.5,6,No,5,1,5,No
117,Finance,8.11,8.23,1,Yes,3,9,4,Yes
105,Computer Science,5.56,5.5,7,No,2,7,5,No
99,Psychology,6.57,6.48,5,No,1,1,0,No
90,Education,7.09,6.82,6,Yes,7,2,2,No
90,Design,5.8,5.33,1,No,10,2,5,No
87,Pharmacy,7.53,7.88,7,Yes,4,8,0,No
91,Finance,5.43,5.26,4,No,9,1,3,No
111,Pharmacy,5.23,5.41,3,No,5,3,3,No
96,Education,7.6,8.05,4,No,5,1,1,No
79,Pharmacy,6.24,6.3,9,Yes,3,5,3,No
126,Education,5.48,5.38,5,Yes,8,4,2,No
104,Finance,7.12,6.89,5,No,6,3,2,No
78,Education,9.58,10.01,8,No,9,8,2,Yes
93,Finance,8.62,8.8,7,Yes,7,7,1,No
101,Marketing,9.08,9.25,3,Yes,6,4,0,No
125,Marketing,9.36,9.29,1,No,3,1,1,No
83,Education,9.86,10.21,2,Yes,8,7,3,No
114,Marketing,8.82,9.03,3,Yes,1,3,2,Yes
120,Design,8.04,7.82,1,No,4,5,1,No
90,Design,6.83,6.93,1,No,1,8,5,No
95,Marketing,5.91,5.84,8,Yes,7,9,1,No
84,Marketing,8.43,7.94,8,No,8,10,2,No
96,Engineering,9.97,10.28,2,Yes,2,10,4,Yes
99,Engineering,7.34,6.96,8,Yes,4,7,2,No
109,Finance,8.62,8.63,2,No,8,6,4,No
116,Education,7.48,7.32,5,No,5,5,2,No
88,Restaurant,7.16,7,1,No,2,5,0,No
70,Restaurant,7.05,7.03,9,Yes,5,4,4,No
99,Marketing,7.52,8.02,4,Yes,8,7,4,No
104,Pharmacy,6.83,6.74,10,Yes,10,1,5,No
103,Marketing,8.74,8.42,2,Yes,10,3,1,No
95,Engineering,9.37,9.48,1,No,9,6,4,No
101,Finance,9.41,9.15,6,No,6,10,3,Yes
122,Marketing,6.14,5.75,8,No,3,1,1,No
105,Psychology,9.48,9.03,4,No,3,7,1,No
94,Pharmacy,6.71,6.23,1,No,0,2,5,No
92,Psychology,6.55,6.48,1,Yes,2,7,0,No
97,Finance,8.63,8.56,6,Yes,8,4,1,No
124,Finance,6.52,6.21,2,No,0,9,1,No
97,Design,5.26,5.54,5,No,1,5,3,No
99,Business,6.87,6.5,2,No,1,1,1,No
92,Psychology,8.61,9.03,9,No,7,4,4,No
116,Design,6.63,6.72,2,Yes,5,4,5,No
129,Engineering,8.15,7.68,5,Yes,6,4,5,No
106,Computer Science,8.3,8.76,4,No,10,3,0,No
101,Pharmacy,8.67,8.48,1,No,3,3,5,No
100,Computer Science,9.49,9.44,10,No,10,10,5,Yes
64,Education,7.16,6.94,9,No,3,5,3,No
111,Engineering,5.83,6.06,3,Yes,3,5,5,No
102,Engineering,6.59,6.58,10,Yes,5,2,2,No
106,Computer Science,7.16,6.79,8,No,3,10,2,No
89,Psychology,8.57,8.17,4,No,0,10,2,Yes
94,Business,5.07,5.3,9,Yes,0,9,3,No
93,Psychology,6.58,6.32,5,Yes,7,3,2,No
115,Computer Science,8.9,8.54,2,Yes,1,4,4,Yes
94,Education,8.35,8.35,8,No,8,2,2,No
131,Psychology,8.66,8.96,4,No,9,8,2,Yes
106,Restaurant,9.06,8.84,2,No,7,7,0,No
80,Psychology,8.92,8.7,6,Yes,0,3,2,No
98,Finance,8.41,8.74,1,No,9,5,2,No
90,Design,7.2,6.85,8,Yes,10,1,1,No
67,Pharmacy,9.92,10.04,9,Yes,7,6,4,No
123,Psychology,7.85,8.31,7,No,8,10,3,Yes
110,Business,6.01,6.35,9,Yes,3,6,0,No
107,Business,6.46,6.02,2,Yes,6,5,3,No
102,Psychology,8.47,8.29,1,No,3,9,2,Yes
79,Marketing,9.62,9.26,7,Yes,2,4,1,No
92,Engineering,5.89,6.34,4,No,10,2,2,No
112,Psychology,5.41,5.9,10,Yes,0,7,2,No
84,Engineering,9.41,9.14,8,No,1,5,5,No
62,Restaurant,9.58,9.75,3,No,6,7,5,No
96,Computer Science,6.38,6.72,7,Yes,5,7,0,No
97,Restaurant,6.89,6.62,7,No,7,7,0,No
102,Psychology,8.3,7.99,10,Yes,10,3,3,No
110,Business,6.65,6.16,9,No,2,5,2,No
109,Marketing,9.39,9.3,4,No,5,1,5,No
103,Education,5.54,5.94,10,No,5,6,3,No
117,Engineering,5.19,5.59,1,Yes,1,4,2,No
77,Design,6.04,5.67,7,Yes,0,2,0,No
107,Engineering,6.43,6.13,10,Yes,1,3,1,No
109,Finance,5.56,5.47,6,No,8,3,5,No
81,Pharmacy,5.33,5.61,1,No,5,1,5,No
77,Psychology,8.78,8.89,9,Yes,2,7,3,No
88,Restaurant,5.82,5.83,10,Yes,9,10,3,No
90,Design,9.57,9.66,8,Yes,6,3,4,No
111,Business,6.84,6.44,10,Yes,0,7,5,No
90,Business,8.35,8.33,4,No,7,10,4,Yes
87,Business,6.13,6.62,5,Yes,9,10,1,No
90,Education,6.2,5.79,8,No,6,9,5,No
116,Finance,7.87,7.89,2,Yes,2,6,4,No
100,Business,7.8,7.6,6,No,3,8,1,No
97,Business,8.84,8.88,10,Yes,10,1,2,No
98,Psychology,8.79,8.86,2,No,6,8,4,Yes
119,Finance,8.35,8.43,8,No,3,8,4,Yes
88,Marketing,7.25,7.6,5,No,4,3,3,No
119,Marketing,9.45,9.34,10,No,0,6,1,No
103,Finance,8.11,8.13,3,Yes,4,6,3,No
97,Pharmacy,9.95,9.46,2,Yes,9,7,4,No
137,Education,9.1,9.39,4,No,9,3,5,Yes
84,Design,5.22,4.98,8,No,3,10,2,No
94,Engineering,6.6,6.92,1,Yes,2,1,0,No
81,Psychology,7.86,7.63,10,No,8,9,1,No
114,Computer Science,8.61,8.12,3,No,0,6,1,No
125,Marketing,7.75,7.4,1,Yes,9,5,2,No
125,Finance,8.93,9.42,2,Yes,4,2,2,Yes
118,Design,6.41,6.23,10,Yes,9,4,1,No
97,Finance,5.92,5.53,7,Yes,1,5,1,No
94,Engineering,5.27,4.89,1,No,4,10,2,No
74,Design,7.87,7.68,9,Yes,4,4,5,No
130,Marketing,8.44,7.98,8,No,9,10,2,Yes
107,Business,6.63,6.64,1,No,10,4,2,No
92,Finance,8.07,7.78,10,No,0,6,4,No
119,Computer Science,5.26,5.28,1,No,3,4,5,No
85,Marketing,5.5,5.14,2,No,6,9,1,No
106,Restaurant,8.51,8.44,2,No,0,2,1,No
97,Computer Science,6.84,6.94,6,Yes,9,5,2,No
109,Pharmacy,8.36,7.92,1,Yes,1,3,3,No
99,Education,9.16,9.06,4,No,3,8,0,No
78,Marketing,9.26,9.06,7,Yes,9,3,1,No
101,Business,5.86,5.6,9,Yes,1,8,4,No
115,Marketing,7.43,7.53,10,No,1,8,0,No
99,Engineering,8.67,8.76,3,Yes,0,2,3,No
111,Design,8.87,9,4,No,1,10,5,Yes
84,Finance,8.92,8.58,5,Yes,2,7,4,No
99,Design,6.14,5.93,5,No,3,6,2,No
90,Design,5.96,5.67,2,No,0,1,3,No
111,Marketing,7.95,7.99,5,No,0,2,2,No
100,Engineering,8.71,8.67,10,No,6,4,4,No
110,Finance,6.6,6.43,1,Yes,4,2,4,No
116,Finance,5.52,5.81,7,Yes,6,5,2,No
110,Design,8.58,8.17,5,Yes,9,3,0,No
104,Pharmacy,6.5,6.97,6,No,8,6,1,No
85,Education,5.83,5.45,9,No,0,9,1,No
99,Engineering,5.74,6.01,3,No,7,10,5,No
92,Pharmacy,6.57,6.44,1,No,9,7,4,No
94,Psychology,7.96,8.33,8,Yes,3,5,3,No
94,Psychology,6.79,6.36,2,Yes,8,1,2,No
85,Computer Science,5.1,4.97,2,No,1,1,3,No
70,Design,5.48,5.32,10,No,8,1,2,No
89,Finance,6.45,6.94,4,Yes,7,3,3,No
102,Marketing,8.3,8.79,5,Yes,5,7,5,No
79,Finance,5.49,5.18,1,No,4,9,2,No
100,Finance,7.8,7.93,3,No,2,6,4,No
128,Business,5.6,5.64,8,No,0,7,0,No
115,Finance,6.06,5.71,6,No,5,3,1,No
124,Computer Science,5.86,5.53,3,Yes,9,8,3,Yes
105,Pharmacy,5.34,5.83,7,No,4,10,5,No
117,Psychology,8.36,8.31,6,Yes,7,6,1,No
89,Finance,7.32,6.95,5,No,0,3,3,No
90,Finance,9.16,8.87,8,No,9,2,4,No
58,Business,5.49,5.26,8,No,0,9,5,No
117,Engineering,5.72,5.73,3,Yes,6,7,4,No
123,Marketing,6.53,6.37,8,No,7,10,3,Yes
91,Engineering,8.83,8.79,10,Yes,9,10,3,Yes
96,Marketing,6.53,6.2,9,Yes,0,9,3,No
88,Education,7.04,6.87,10,Yes,8,4,5,No
105,Finance,6.51,6.08,3,No,6,4,4,No
116,Business,5.4,5.79,8,Yes,6,6,0,No
73,Restaurant,9.7,9.4,8,Yes,7,2,0,No
106,Design,7.74,8,7,Yes,7,10,3,No
95,Psychology,8.94,8.79,8,Yes,0,1,2,No
101,Pharmacy,8.29,8.26,1,No,3,10,0,No
106,Psychology,7.57,7.36,3,No,10,3,4,No
97,Pharmacy,5.45,5.65,6,No,8,5,4,No
98,Education,8.21,8.55,7,No,2,2,5,No
96,Engineering,5.78,5.57,7,No,5,9,4,No
114,Computer Science,7.07,6.81,6,No,3,1,1,No
106,Finance,8.15,8.33,4,No,0,3,1,No
103,Restaurant,8.91,8.61,5,Yes,2,5,4,No
80,Pharmacy,8.43,8.57,9,No,2,1,0,No
94,Design,8.36,7.95,1,Yes,2,4,1,No
113,Pharmacy,5.75,5.87,2,No,10,10,2,Yes
100,Computer Science,6.73,6.74,5,No,5,1,3,No
109,Psychology,5.21,4.82,5,Yes,8,7,1,No
126,Business,8.6,8.75,7,Yes,6,1,1,No
115,Psychology,9.76,9.71,8,No,6,3,0,No
101,Education,6.32,6.04,10,No,0,4,0,No
92,Business,5.44,5.29,6,No,8,4,2,No
61,Psychology,7.38,7.37,6,Yes,3,7,5,No
97,Design,9.28,8.87,5,Yes,7,5,2,No
95,Psychology,7.76,8.22,5,No,0,8,5,Yes
105,Design,5.23,5.4,8,No,7,3,2,No
97,Design,9.87,9.47,5,No,8,8,2,Yes
95,Business,9.14,9.46,6,No,4,9,1,No
73,Engineering,5.66,5.48,3,No,6,9,2,No
85,Marketing,9.61,9.71,5,Yes,10,9,5,Yes
107,Finance,7.25,7.03,9,Yes,9,1,2,No
125,Pharmacy,6.86,7.09,3,No,1,9,4,Yes
98,Marketing,7.31,7.53,8,No,0,8,1,No
104,Computer Science,9.17,9.22,7,Yes,10,2,1,No
114,Engineering,8.3,8.04,4,Yes,5,3,1,No
87,Marketing,5.3,5.05,5,No,8,7,3,No
105,Business,9.79,9.67,8,Yes,0,3,2,No
88,Computer Science,5.74,5.39,10,No,9,2,5,No
112,Restaurant,8.73,8.57,7,No,0,4,2,Yes
102,Engineering,8.18,8.36,10,No,3,9,2,Yes
104,Marketing,5.94,6.27,10,No,9,2,0,No
88,Computer Science,5.85,5.68,2,No,5,1,0,No
110,Restaurant,9.35,9.08,8,Yes,8,10,0,No
131,Psychology,7.1,7.43,8,No,1,7,3,No
84,Computer Science,8.27,8.66,9,No,4,1,2,No
94,Business,7.52,7.43,2,No,6,6,1,No
103,Psychology,8.64,8.17,4,No,3,5,1,No
111,Business,7.4,7.59,2,No,5,8,4,Yes
91,Marketing,6.44,6.72,4,Yes,5,3,5,No
57,Finance,6.82,6.34,3,No,3,3,0,No
120,Marketing,9.3,9.4,7,No,3,1,3,Yes
111,Psychology,7.34,7.43,5,No,8,4,4,No
73,Design,6.07,5.95,7,Yes,10,10,3,No
90,Marketing,9.67,9.92,2,No,0,10,1,No
123,Psychology,8.98,8.91,4,No,4,6,5,Yes
121,Computer Science,5.28,5.46,6,Yes,10,5,2,No
114,Education,9.99,10.01,5,Yes,8,7,1,No
97,Marketing,8.47,8.22,2,No,8,10,1,No
101,Computer Science,5.8,5.91,7,No,8,1,0,No
98,Business,6.19,6.43,2,No,1,3,1,No
116,Engineering,8.46,8.93,9,Yes,6,4,3,Yes
86,Finance,8.9,8.78,7,No,9,6,2,No
87,Business,6.2,5.76,3,No,7,4,0,No
115,Business,6.28,6.77,6,Yes,0,7,4,No
99,Psychology,6.54,6.66,5,No,1,10,1,No
120,Design,7.99,8.44,9,No,0,10,0,Yes
89,Pharmacy,5.86,5.46,3,No,8,3,0,No
99,Education,5.52,5.36,2,No,9,8,0,No
86,Design,8.39,8.02,2,Yes,10,7,3,No
100,Psychology,8.9,9.24,4,Yes,4,3,4,No
77,Finance,7.5,7.88,1,Yes,3,9,0,No
92,Education,6.82,6.82,9,Yes,7,10,3,No
78,Education,7.16,6.85,3,No,2,5,4,No
110,Psychology,6.94,6.57,5,Yes,7,2,2,No
110,Restaurant,9.8,9.89,2,No,2,9,3,Yes
74,Business,8.84,8.85,8,No,5,8,0,No
120,Engineering,6.04,6.23,3,No,3,8,1,No
137,Restaurant,6.92,6.73,5,No,7,1,3,No
100,Psychology,7.72,7.62,7,No,6,4,2,No
90,Restaurant,8.06,7.58,2,Yes,4,7,4,No
142,Engineering,7.34,7.45,3,No,2,6,2,No
80,Psychology,9.05,8.97,8,No,4,9,4,Yes
100,Psychology,8.84,9.26,10,No,3,8,3,Yes
102,Education,7.53,7.67,8,Yes,7,9,4,No
120,Restaurant,9.27,9.17,3,No,10,4,0,No
105,Computer Science,8.76,8.52,10,No,4,8,5,Yes
92,Marketing,8.89,9.3,7,No,9,6,3,No
85,Psychology,9.78,9.3,2,Yes,9,9,1,No
94,Restaurant,6.33,6.16,9,No,4,10,2,No
84,Pharmacy,6.34,6.78,8,No,1,1,2,No
100,Finance,9.44,9.59,9,No,8,6,3,No
91,Pharmacy,8.86,8.89,9,No,5,10,1,No
77,Restaurant,9.63,9.33,7,No,10,10,3,Yes
118,Business,5.32,5.65,4,No,0,2,0,No
92,Business,8.14,7.84,5,No,2,3,5,No
80,Restaurant,5.72,5.47,7,No,3,9,5,No
97,Education,7.52,7.21,5,No,9,5,0,No
101,Education,5.78,5.44,10,Yes,9,5,1,No
73,Psychology,5.64,6.09,8,No,1,1,3,No
104,Engineering,5.06,5.16,5,No,10,10,1,No
84,Marketing,8.15,8.29,5,Yes,9,2,1,No
125,Psychology,6.8,7.25,5,No,3,9,0,No
107,Pharmacy,5.53,5.26,4,Yes,1,7,0,No
94,Marketing,6.61,6.12,7,Yes,5,4,1,No
88,Pharmacy,5.84,5.94,2,No,9,7,1,No
98,Education,9.71,9.72,10,No,8,10,4,Yes
109,Restaurant,6.6,6.58,4,Yes,0,2,0,No
99,Engineering,6.67,6.23,3,Yes,4,5,1,No
96,Pharmacy,9.2,9.15,10,Yes,8,9,4,Yes
100,Education,8.24,8.03,8,Yes,10,2,5,No
90,Engineering,8.55,8.32,7,Yes,6,3,5,No
94,Psychology,8.18,7.9,3,No,10,5,5,No
68,Restaurant,9.73,9.56,4,Yes,5,5,1,No
114,Finance,6.04,5.89,4,Yes,6,8,4,Yes
104,Business,9.95,9.76,10,No,8,7,1,No
88,Design,9.15,9.63,7,No,2,3,5,No
128,Engineering,7.94,8.37,8,Yes,7,5,5,Yes
101,Finance,8.31,8.38,4,Yes,0,8,5,Yes
84,Finance,8.24,8.72,8,Yes,9,5,3,No
112,Engineering,5.29,5.78,1,No,5,2,0,No
105,Finance,6.09,5.95,9,Yes,8,10,5,No
105,Pharmacy,9.81,9.76,7,No,0,2,1,No
93,Finance,7.67,8.13,4,Yes,4,1,2,No
106,Education,6.89,7,8,No,7,6,5,No
96,Marketing,8.81,8.52,10,No,9,1,2,No
108,Pharmacy,7.62,7.81,2,No,10,8,4,No
71,Finance,5.07,4.78,8,Yes,5,1,0,No
93,Psychology,8.68,8.52,10,Yes,5,8,4,Yes
125,Business,8.66,8.39,6,No,2,6,0,No
88,Restaurant,5.83,5.57,7,No,7,9,2,No
90,Finance,9.78,9.28,7,No,0,3,5,No
93,Computer Science,6.12,6.5,2,No,3,7,2,No
81,Business,7.29,7.09,2,Yes,7,2,5,No
66,Psychology,5.57,5.16,4,No,5,5,4,No
96,Education,8.02,7.61,6,Yes,10,1,5,No
102,Finance,6.88,6.94,4,No,8,5,5,No
99,Education,6.77,7.26,6,No,0,8,3,No
97,Finance,9.13,8.78,5,Yes,1,10,2,Yes
100,Design,5.05,4.65,6,No,0,3,0,No
115,Marketing,8.99,8.93,9,No,10,6,1,No
97,Education,7.86,7.92,6,No,3,4,1,No
91,Marketing,9.93,9.72,6,No,8,8,1,No
95,Business,7.95,7.75,8,No,3,2,2,No
108,Design,5.28,5.2,5,No,8,5,3,No
121,Restaurant,5.25,5.06,5,No,5,6,2,No
90,Pharmacy,9.42,9.84,10,No,4,8,0,No
101,Marketing,9.21,8.75,1,Yes,9,2,5,No
105,Design,6.73,6.46,6,Yes,3,9,2,No
85,Marketing,8.09,8.4,1,No,9,7,2,No
100,Engineering,7.45,7.78,8,No,1,10,2,No
78,Psychology,9.84,9.45,10,Yes,7,4,2,No
73,Restaurant,9.75,10.22,9,No,2,10,0,No
105,Psychology,9.92,10.11,6,Yes,0,2,2,No
94,Finance,9.33,9.1,9,No,10,8,3,Yes
103,Marketing,9.55,9.51,2,No,9,2,4,No
99,Finance,6.09,5.89,9,Yes,6,2,0,No
85,Computer Science,9.16,8.81,4,Yes,7,9,3,Yes
